DI_Avg,KI_Avg,MK_Avg,HB_Avg,GL_Avg,BH_Avg,HO_Avg,TK_Avg,RB_Avg,I5_Avg,CL_Avg,target
 -15.05709,  -5.98824,   8.89736,  -9.06886,  -6.11908,  -1.80337,   0.60735, -12.70210,   5.21748, -16.60018,  -3.15689,   0.00000
  33.44723,   8.69620,  -1.12449,  24.75102,  -1.04002,   1.09699,  -0.58390,  -3.20110,   1.83424,   4.07417,   3.11601,   0.00000
  10.47518,  -5.67297,  -3.30806,  16.14815,   2.78765,   0.46549,   9.59713,  -0.29969,  -3.78524,   4.57082,   2.85061,   1.00000
 -18.41435,  -0.95734,   0.02630, -17.45701,   2.53953,   3.79335,   8.41980,   2.30692,  -7.39676,   1.81809,   0.85069,   0.00000
  -7.27600, -37.83478, -16.68636,  30.55878,  -6.28482,  -3.96823,  -4.98594,   1.28856,  -1.43221, -10.01557,  -4.04822,   0.00000
 -11.88616,  -3.08638,   2.82106,  -8.79977,  -1.08376,  -0.06377,   4.52805,  -5.17904,   1.05672,  -8.35688,  -2.96634,   1.00000
  -3.35784, -21.80906, -10.12319,  18.45122,   4.69212,  -0.23857,  20.40675,  -0.73697,  -6.24712,  -3.31849,  -0.19260,   0.00000
   4.84898,  -7.14882,  -6.21287,  11.99781,  -6.55900,  -2.15371, -12.93713,   5.49045,   4.37413,  -8.49461,  -1.34379,   0.00000
 -14.85913, -16.41077, -18.25985,   1.55164,  -2.72221,  -1.71369, -18.43874, -10.82290,   5.17473,  -6.54632,  -0.71280,   1.00000
 -19.63101, -17.43585, -12.68790,  -2.19517,  -5.23621,  -4.20548,   0.86953,  -4.98195,  10.28298,  -9.56507,  -0.78561,   0.00000
  13.38935,  23.98549,  11.45635, -10.59614,   2.13329,   2.27268,   7.71011,  -0.47692,   0.88688,  11.49904,  -3.26637,   1.00000
  33.15122,   5.32647, -20.36188,  27.82475,   1.80958,  -0.20119, -23.96182,   9.30787,   8.27961,  11.14658,   7.24719,   1.00000
  52.01338,  27.44774,  10.52399,  24.56564,   6.35409,   0.73945,  10.33467,  -7.12614,  -4.84894,  15.70299,  11.24193,   1.00000
 -24.72222,   8.92246,   4.09152, -33.64468,   6.52176,   2.74075,  -0.02523,  -6.72934,  -1.68603,   1.40041,   0.57937,   1.00000
 -26.40349,  -4.52591,  -3.80015, -21.87758,  -0.16310,  -1.37884,  -5.76528,   1.47705,   4.50645,  -8.50822,   0.14116,   1.00000
  21.65254,   8.01104,   1.39340,  13.64149,   6.79399,   2.18620,  27.15886,   1.61502,  -6.74754,  16.85396,   2.32114,   1.00000
   6.46229,  20.52722,  13.05411, -14.06493,   3.74655,   1.43175,  11.33516,  12.52918,  -1.90929,   8.76583,   3.96881,   1.00000
 -10.71531,  -4.22216,  -0.86706,  -6.49314,  -1.73023,  -2.79682, -25.93557,   8.06571,  -2.01364,   2.08447,  -4.66535,   1.00000
 -30.22750, -17.59746,  -2.57557, -12.63004,   0.38672,  -0.11269, -17.92939,  -2.70620,  -6.36531,   0.05954,  -9.00224,   1.00000
  68.46788,  28.53929,   6.90935,  39.92859,   3.11979,   3.08779, -14.44962,  -0.72248,  -5.82935,  14.57725,   8.42998,   1.00000
 -20.38028, -10.34264,   9.15566, -10.03764,  -4.32023,   0.87515,  -7.52212, -12.06544,  -0.83290, -11.35453,  -3.07548,   0.00000
  30.47925,  15.22413,  12.37727,  15.25512,   1.42520,   2.72082,  10.25288,   5.85001,  -8.18684,   3.21994,   7.01461,   1.00000
  -3.67989, -25.02292, -16.55864,  21.34303,  -4.16475,  -3.16970, -10.15684,  -6.76112,  -1.12162, -13.21162,   5.20844,   0.00000
  14.75406,  -1.12937,  -5.09597,  15.88343,  -4.84873,  -0.75332,  -3.75618,  -6.74382,   3.89896,  -2.55541,  -1.15916,   0.00000
  23.97898,   2.10138,  -6.32824,  21.87760,  -8.93862,  -3.75332,  -7.18114,   4.61222,  14.81286, -14.67171,   3.89622,   0.00000
  41.03225,  11.13778,   2.98603,  29.89447,   1.32702,   2.88163,  -2.82116,  12.63756,  -2.27760,  10.52269,   5.75493,   1.00000
  10.76576,  -4.68520,  -6.37224,  15.45096,   1.07094,  -0.66889,   9.42690,  -9.69143,   3.00672,   0.81433,   0.98636,   1.00000
   3.90082,   3.50614,   2.59723,   0.39469,   1.56820,   1.45433,  -0.85812,   0.86891,  -0.59419,   5.63981,   2.97925,   0.00000
  12.84238,   0.68365,   4.37861,  12.15874,  -0.02286,  -2.04387,  -8.76156,   6.67975,  -3.69623,  -3.19251,   3.11085,   0.00000
  23.83038,  17.39340,   4.23182,   6.43698,   0.91411,   0.08253,   1.53163,   5.68445,  -0.82801,   4.19761,   2.92335,   1.00000
  11.79018,  28.05741,   8.96632, -16.26723,   8.62142,   4.07309,   8.89985,  -3.53558,  -3.49431,  15.67688,   7.40514,   1.00000
   7.29176,  -0.37500,   9.16828,   7.66677,   0.54543,  -2.92053,  15.51115,  -3.19236,   3.58214,  -4.06368,  -2.09622,   1.00000
  -3.79326,   3.10677,   5.04673,  -6.90003,   0.80667,  -1.64429, -10.78267,   9.73216,   6.24604,  -0.27166,  -5.33657,   1.00000
 -28.48341, -10.59287,   0.83309, -17.89054,   2.69110,  -0.97339, -12.35155,   3.75749,  -0.11768,  -1.65926,  -5.41519,   1.00000
  -1.51703,   0.86414, -14.25094,  -2.38117,  -2.42647,  -0.72032, -20.97839,  10.39388,   4.66547,  -0.16937,  -0.05057,   1.00000
 -46.24893, -11.26661,  -1.89302, -34.98231,   0.08153,  -1.24777,   1.00246,   6.31246,   5.65593,  -7.04241,  -2.46147,   0.00000
  10.18607,  -0.68373,  -3.13873,  10.86980,  -0.41836,  -1.46168, -13.02469,  -0.90019,  -1.25923,  -3.96342,   2.73296,   1.00000
  11.76480,   9.89106,   2.66046,   1.87375,  -2.38702,  -2.46316,  -9.33430,   4.65075,   3.30097,  -0.52443,   3.16540,   0.00000
 -21.95400,  -8.19055,  -8.39676, -13.76346,  -0.25900,  -1.90492, -13.41787,  -1.40605,   4.18922,  -9.24736,  -3.06431,   0.00000
  36.68302,  21.71040,  -0.93342,  14.97262,   8.26168,   2.84771,  -7.65760,   9.47595,  -3.37478,  15.94751,   9.01295,   1.00000
 -26.01553, -24.05298, -16.32145,  -1.96256,  -6.67950,  -2.74675,  -3.19524,   1.86809,   5.21646,  -8.77495,  -1.40209,   0.00000
 -18.66541, -15.61538, -10.96116,  -3.05003,  -2.57458,  -1.22321,  -0.50891,  -6.97634,   6.83289, -11.80748,   0.75490,   0.00000
 -11.83837,  -2.43018,  13.76243,  -9.40820,   2.18114,   4.32510,  27.98941,  -5.18774, -11.88693,  -1.25350,   3.40651,   0.00000
  23.05903,   7.79488,  -0.24608,  15.26415,  -3.21030,  -0.22378,  -9.66487,   7.85274,   0.93804,   3.22508,   0.46961,   0.00000
  -9.06915,   7.31200,   9.10121, -16.38115,   3.65880,   3.18009,  22.96564,  -2.22410,  -4.34718,   0.92721,  -3.97789,   1.00000
  17.07485, -10.57121,  -2.62461,  27.64606,  -2.84819,   0.19719,  12.44564,   0.89307,  -5.98917,   0.67135,   6.39237,   0.00000
